Start Date,End Date,State,County,COVID-19 Deaths,Total Deaths
01/01/2020,06/26/2021,AK,Aleutians East Borough,,12
01/01/2020,06/26/2021,AK,Anchorage Municipality,204,3143
01/01/2020,06/26/2021,AK,Bethel Census Area,17,154
01/01/2020,06/26/2021,AK,Dillingham Census Area,,35
01/01/2020,06/26/2021,AK,Fairbanks North Star Borough,47,741
01/01/2020,06/26/2021,AK,Hoonah-Angoon Census Area,,15
01/01/2020,06/26/2021,AK,Juneau City and Borough,,235
01/01/2020,06/26/2021,AK,Kenai Peninsula Borough,14,501
01/01/2020,06/26/2021,AK,Ketchikan Gateway Borough,,120
01/01/2020,06/26/2021,AK,Kodiak Island Borough,,89
01/01/2020,06/26/2021,AK,Matanuska-Susitna Borough,47,873
01/01/2020,06/26/2021,AK,North Slope Borough,,50
01/01/2020,06/26/2021,AK,Sitka City and Borough,,73
01/01/2020,06/26/2021,AK,Valdez-Cordova Census Area,,50
01/01/2020,06/26/2021,AK,Wade Hampton Census Area,,53
01/01/2020,06/26/2021,AL,Autauga County,96,766
01/01/2020,06/26/2021,AL,Baldwin County,255,3452
01/01/2020,06/26/2021,AL,Barbour County,40,416
01/01/2020,06/26/2021,AL,Bibb County,30,286
01/01/2020,06/26/2021,AL,Blount County,50,760
01/01/2020,06/26/2021,AL,Bullock County,,155
01/01/2020,06/26/2021,AL,Butler County,32,348
01/01/2020,06/26/2021,AL,Calhoun County,303,2443
01/01/2020,06/26/2021,AL,Chambers County,39,552
01/01/2020,06/26/2021,AL,Cherokee County,16,428
01/01/2020,06/26/2021,AL,Chilton County,32,588
01/01/2020,06/26/2021,AL,Choctaw County,16,181
01/01/2020,06/26/2021,AL,Clarke County,17,430
01/01/2020,06/26/2021,AL,Clay County,36,294
01/01/2020,06/26/2021,AL,Cleburne County,15,220
01/01/2020,06/26/2021,AL,Coffee County,84,819
01/01/2020,06/26/2021,AL,Colbert County,175,1104
01/01/2020,06/26/2021,AL,Conecuh County,11,195
01/01/2020,06/26/2021,AL,Coosa County,,124
01/01/2020,06/26/2021,AL,Covington County,110,851
01/01/2020,06/26/2021,AL,Crenshaw County,31,280
01/01/2020,06/26/2021,AL,Cullman County,216,1743
01/01/2020,06/26/2021,AL,Dale County,78,695
01/01/2020,06/26/2021,AL,Dallas County,117,796
01/01/2020,06/26/2021,AL,DeKalb County,111,1135
01/01/2020,06/26/2021,AL,Elmore County,58,1036
01/01/2020,06/26/2021,AL,Escambia County,59,628
01/01/2020,06/26/2021,AL,Etowah County,388,2631
01/01/2020,06/26/2021,AL,Fayette County,26,247
01/01/2020,06/26/2021,AL,Franklin County,30,482
01/01/2020,06/26/2021,AL,Geneva County,38,508
01/01/2020,06/26/2021,AL,Greene County,,112
01/01/2020,06/26/2021,AL,Hale County,20,239
01/01/2020,06/26/2021,AL,Henry County,,225
01/01/2020,06/26/2021,AL,Houston County,575,3245
01/01/2020,06/26/2021,AL,Jackson County,68,1003
01/01/2020,06/26/2021,AL,Jefferson County,2231,16882
01/01/2020,06/26/2021,AL,Lamar County,12,175
01/01/2020,06/26/2021,AL,Lauderdale County,273,2301
01/01/2020,06/26/2021,AL,Lawrence County,27,502
01/01/2020,06/26/2021,AL,Lee County,312,2017
01/01/2020,06/26/2021,AL,Limestone County,122,1312
01/01/2020,06/26/2021,AL,Lowndes County,,129
01/01/2020,06/26/2021,AL,Macon County,11,252
01/01/2020,06/26/2021,AL,Madison County,692,6791
01/01/2020,06/26/2021,AL,Marengo County,53,411
01/01/2020,06/26/2021,AL,Marion County,75,631
01/01/2020,06/26/2021,AL,Marshall County,205,1952
01/01/2020,06/26/2021,AL,Mobile County,974,8687
01/01/2020,06/26/2021,AL,Monroe County,22,363
01/01/2020,06/26/2021,AL,Montgomery County,909,5303
01/01/2020,06/26/2021,AL,Morgan County,248,2224
01/01/2020,06/26/2021,AL,Perry County,,123
01/01/2020,06/26/2021,AL,Pickens County,14,254
01/01/2020,06/26/2021,AL,Pike County,68,489
01/01/2020,06/26/2021,AL,Randolph County,15,345
01/01/2020,06/26/2021,AL,Russell County,53,632
01/01/2020,06/26/2021,AL,St. Clair County,108,1274
01/01/2020,06/26/2021,AL,Shelby County,181,2214
01/01/2020,06/26/2021,AL,Sumter County,,168
01/01/2020,06/26/2021,AL,Talladega County,122,1387
01/01/2020,06/26/2021,AL,Tallapoosa County,110,868
01/01/2020,06/26/2021,AL,Tuscaloosa County,610,3880
01/01/2020,06/26/2021,AL,Walker County,200,1631
01/01/2020,06/26/2021,AL,Washington County,11,201
01/01/2020,06/26/2021,AL,Wilcox County,,138
01/01/2020,06/26/2021,AL,Winston County,34,437
01/01/2020,06/26/2021,AR,Arkansas County,11,326
01/01/2020,06/26/2021,AR,Ashley County,11,293
01/01/2020,06/26/2021,AR,Baxter County,149,1426
01/01/2020,06/26/2021,AR,Benton County,462,3187
01/01/2020,06/26/2021,AR,Boone County,76,701
01/01/2020,06/26/2021,AR,Bradley County,18,152
01/01/2020,06/26/2021,AR,Carroll County,17,340
01/01/2020,06/26/2021,AR,Chicot County,23,169
01/01/2020,06/26/2021,AR,Clark County,25,338
01/01/2020,06/26/2021,AR,Clay County,30,283
01/01/2020,06/26/2021,AR,Cleburne County,35,446
01/01/2020,06/26/2021,AR,Cleveland County,,100
01/01/2020,06/26/2021,AR,Columbia County,52,403
01/01/2020,06/26/2021,AR,Conway County,10,295
01/01/2020,06/26/2021,AR,Craighead County,561,3565
01/01/2020,06/26/2021,AR,Crawford County,35,711
01/01/2020,06/26/2021,AR,Crittenden County,38,572
01/01/2020,06/26/2021,AR,Cross County,17,266
01/01/2020,06/26/2021,AR,Dallas County,14,145
01/01/2020,06/26/2021,AR,Desha County,,169
01/01/2020,06/26/2021,AR,Drew County,19,320
01/01/2020,06/26/2021,AR,Faulkner County,230,1814
01/01/2020,06/26/2021,AR,Franklin County,21,268
01/01/2020,06/26/2021,AR,Fulton County,33,266
01/01/2020,06/26/2021,AR,Garland County,372,2968
01/01/2020,06/26/2021,AR,Grant County,11,204
01/01/2020,06/26/2021,AR,Greene County,54,614
01/01/2020,06/26/2021,AR,Hempstead County,19,273
01/01/2020,06/26/2021,AR,Hot Spring County,18,453
01/01/2020,06/26/2021,AR,Howard County,17,212
01/01/2020,06/26/2021,AR,Independence County,175,938
01/01/2020,06/26/2021,AR,Izard County,21,254
01/01/2020,06/26/2021,AR,Jackson County,14,267
01/01/2020,06/26/2021,AR,Jefferson County,184,1440
